seller_id,seller_city,seller_state,total_orders,total_transaction_revenue,total_freight_value,total_payment_value,average_order_value,average_review_score,first_order_month,last_order_month,active_months,total_products_sold,processing_time_days,total_subscription_fee
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,8.0,1717.05,1888.65,17169.98,150.99,5.0,2017-07,2018-03,7,2,2.8289583333333335,321.3
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,1.0,1005.0,764.08,10050.04,1663.0,5.0,2017-08,2018-02,6,1,1.0990625,275.4
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,2.0,2493.23,1765.45,24932.14,420.0,5.0,2016-10,2018-08,19,2,1.1790856481481482,872.1
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,1.0,15.709999999999999,23.86,157.07999999999998,66.61,5.0,2018-05,2018-08,2,1,1.6719212962962962,91.8
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,6.0,1067.23,1210.39,10672.15,79.9,5.0,2017-01,2017-09,9,3,4.500949074074074,413.09999999999997
06532f10282704ef4c69168b914b77be,paincandu,PR,1.0,1117.66,632.8,11176.65,1415.0,5.0,2017-03,2017-08,6,2,2.1974768518518517,275.4
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,5.0,829.55,1432.3,8295.63,68.9,5.0,2017-08,2018-08,12,4,1.555636574074074,550.8
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,3.0,1183.95,1670.74,11839.11,78.0,4.0,2016-10,2018-08,19,3,2.1869444444444444,872.1
0691148aee60ca47977c187804f935ae,londrina,PR,4.0,1106.6,1573.86,11066.1,72.23,5.0,2017-11,2018-08,10,2,1.2566550925925926,459.0
0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,1.0,20.57,31.73,205.72,39.245000000000005,4.0,2018-06,2018-08,3,1,5.295630787037037,137.7
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,45.0,4726.53,11402.44,47266.01,66.99,5.0,2018-01,2018-08,8,2,2.3506076388888886,367.2
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,1.0,192.33,329.22,1923.33,78.25,5.0,2017-09,2018-06,9,2,0.855630787037037,413.09999999999997
06df0c10d34e459d9672bc77388742eb,maringa,PR,4.0,1212.28,525.77,12122.79,299.0,5.0,2018-03,2018-08,6,2,0.9039930555555555,275.4
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,5.0,2494.87,2173.28,24948.33,181.01,4.0,2017-05,2018-08,15,2,1.0073032407407407,688.5
07017df32dc5f2f1d2801e579548d620,joao pessoa,PB,2.0,131.39,181.75,1313.98,67.9,5.0,2017-03,2018-07,3,2,1.013576388888889,137.7
070d165398b553f3b4b851c216b8a358,sao paulo,SP,2.0,632.9,1190.82,6328.92,84.94500000000001,5.0,2017-08,2018-08,12,3,3.8719328703703706,550.8
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,2.0,947.24,776.33,9472.36,43.99,5.0,2017-01,2018-08,7,7,3.285480324074074,321.3
0743a0239d764b9a0f959a57d07e36ab,sao paulo,SP,2.0,40.32,81.7,403.22,89.99,5.0,2018-07,2018-08,2,1,1.8012152777777777,91.8
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,2.0,58.22,181.44,582.08,23.9,5.0,2016-10,2017-06,6,2,3.458009259259259,275.4
0761743cbffb25d7148189e9f1a5f03a,ribeirao preto,SP,1.0,126.78,86.2,1267.6000000000001,35.16,4.0,2017-12,2018-02,3,5,3.7896180555555556,137.7
077c5fae4bea9500e3737b16f71b9d3a,sorocaba,SP,1.0,42.17,70.44,421.62,19.2,5.0,2017-09,2018-06,4,3,4.969861111111111,183.6
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,MG,1.0,394.33,186.99,3943.31,78.0,1.0,2018-05,2018-07,3,6,1.6027777777777779,137.7
079d295dcbf06ee8bb1b65ba964eb2b6,sao paulo,SP,1.0,214.31,190.79,2142.99,34.0,5.0,2018-06,2018-08,3,6,0.24149305555555556,137.7
07a9bc7f61396b658ddf3ac534efe44c,sao paulo,SP,1.0,27.1,31.18,270.98,119.9,3.5,2017-06,2017-06,1,1,1.1167013888888888,45.9
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,2.0,380.79,646.22,3807.7599999999998,72.0,4.0,2017-03,2018-06,9,2,1.085005787037037,413.09999999999997
07d75e33f2750d97d467fb57e4dfdd8a,sao paulo,SP,1.0,75.96,37.19,759.59,361.2,2.5,2018-03,2018-05,2,1,4.983449074074074,91.8
07de60b03d150fb3ea09eab5da5e4c8b,ibitinga,SP,2.0,93.78,207.79,937.75,71.9,5.0,2018-02,2018-08,4,2,0.6962615740740741,183.6
07e8e8fc5222bb358e6f259da3197074,sao paulo,SP,1.0,7.49,23.06,74.86,25.9,4.0,2018-02,2018-08,2,1,4.0343634259259264,91.8
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,9.0,815.44,2128.87,8154.0,42.79,5.0,2017-07,2018-08,13,3,0.8637094907407408,596.6999999999999
080199a181c46c657dc5aa235411be3b,osasco,SP,6.0,1650.19,996.23,16503.02,179.49,5.0,2017-09,2018-08,11,2,1.6504398148148147,504.9
08061dc0fc165ed41288cc7acde738ee,osasco,SP,1.0,18.22,67.14,182.22,29.0,5.0,2017-03,2017-11,4,1,5.529120370370371,183.6
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,2.0,75.42999999999999,221.79,754.38,29.1,5.0,2018-02,2018-08,5,2,2.48375,229.5
081acf3de680d554796c9cf041be7bc2,vespasiano,MG,1.0,307.5,205.5,3075.25,29.6,5.0,2017-11,2018-05,4,5,3.9090277777777778,183.6
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,1.0,920.48,991.03,9205.03,79.9,3.0,2017-10,2018-08,7,5,0.5540856481481482,321.3
085f6f7e049c996695fb2074fe38d45e,taubate,SP,1.0,54.97,143.35,549.62,18.8,4.0,2018-02,2018-05,4,2,2.937962962962963,183.6
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,7.0,1475.74,1369.08,14757.53,107.7,5.0,2017-12,2018-08,9,5,0.802974537037037,413.09999999999997
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,1.0,756.49,161.06,7564.81,1197.775,3.5,2018-05,2018-08,4,2,5.893541666666667,183.6
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,3.0,358.17,461.14000000000004,3581.64,94.9,5.0,2017-12,2018-08,8,3,0.7554861111111111,367.2
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,1.0,186.23,220.35,1862.35,104.5,5.0,2017-02,2017-08,7,1,0.796869212962963,321.3
08ad4ac1388e4420ca531c3edfc46198,itapevi,SP,1.0,25.94,52.49,259.38,32.76,3.0,2018-06,2018-08,3,1,1.5991203703703705,137.7
08cdbae123ff67ca4e36d9d641ce0119,uba,MG,2.0,837.81,1096.47,8378.119999999999,460.0,1.5,2018-02,2018-07,2,3,9.830821759259258,91.8
08d0949a9a17c027262db1f3c450c26c,cascavel,PR,1.0,86.25999999999999,254.75,862.85,29.9,4.0,2017-08,2018-08,7,2,3.1122916666666667,321.3
08d1c9478fb0d7d7fcac9c0da4e82fc7,belo horizonte,MG,1.0,60.56,67.57,605.57,538.0,5.0,2018-06,2018-06,1,1,5.774502314814815,45.9
08d2d642cf72b622b14dde1d2f5eb2f5,marilia,SP,2.0,153.89,306.15999999999997,1538.86,17.9,5.0,2017-02,2017-12,8,4,2.795659722222222,367.2
08f5819815f3d06545011850bd70f0a8,santos,SP,1.0,52.29,70.83,522.83,152.0,5.0,2018-06,2018-08,2,1,1.5762847222222223,91.8
091065b789659bc3cd9af9cb3a6253ff,canoas,RS,1.0,144.43,85.37,1444.37,679.5,3.5,2017-10,2018-01,2,1,0.9467534722222222,91.8
0936e1837d0c79253456bbb2ffaaef10,sao paulo,SP,1.0,14.0,31.12,140.04,19.45,5.0,2017-04,2017-04,1,2,4.886597222222222,45.9
093805f8f2aeb63881444571e1f48f30,osasco,SP,3.0,252.37,343.94,2523.7200000000003,38.9,5.0,2017-08,2018-01,6,4,1.0565856481481481,275.4
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,4.0,203.93,440.22,2039.32,45.9,5.0,2018-04,2018-07,4,1,0.8078935185185185,183.6
0951a6e282947e09cd47969f4ed0b47f,taboao da serra,SP,3.0,58.04,88.02,580.32,79.9,5.0,2018-07,2018-08,2,1,0.5657638888888888,91.8
09883d9ab71c8fe8a9bfc7fc3075b07e,sao paulo,SP,1.0,33.01,60.49,330.09,64.9,4.5,2017-04,2017-11,4,1,1.6986631944444444,183.6
099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,2.0,632.38,702.09,6323.81,189.99,3.0,2017-12,2018-08,6,2,2.2043287037037036,275.4
09bad886111255c5b5030314fc7f1a4a,sao paulo,SP,5.0,56.04,72.86,560.36,97.5,5.0,2018-08,2018-08,1,1,2.456122685185185,45.9
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,4.0,1609.04,1732.63,16089.97,169.0,4.0,2017-09,2018-08,12,2,1.5589930555555556,550.8
0a198e95d32b1be2da9424c962a6ebfa,contagem,MG,1.0,8.67,16.68,86.67,69.99,5.0,2018-06,2018-06,1,1,12.068622685185185,45.9
0a82f5fb06a4fe4ac2cf7cb412ec71b8,sao paulo,SP,1.0,48.480000000000004,22.799999999999997,484.8,231.0,5.0,2018-02,2018-03,2,1,3.756707175925926,91.8
0a85ebe4e328db81ac9109781205e2f7,jundiai,SP,4.0,92.66,137.75,926.42,54.5,5.0,2018-05,2018-08,3,1,0.6833912037037038,137.7
0aa2205ca24f113f4658a5c536667426,sao paulo,SP,1.0,289.31,172.48,2892.9,31.99,1.0,2018-04,2018-08,3,6,0.7303240740740741,137.7
0ac4201fda2c68ebc0e47cb9423cf3c9,sao paulo,SP,1.0,202.13,233.99,2021.31,39.99,5.0,2017-06,2018-06,8,2,1.3138773148148148,367.2
0ad80de75c811326389cfb1daba7d45e,rio de janeiro,RJ,1.0,116.71000000000001,87.69,1167.19,229.9,5.0,2017-11,2018-01,3,1,0.6550578703703703,137.7
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,5.0,3095.83,2459.57,30956.8,42.4,4.5,2017-01,2018-08,19,7,4.2068055555555555,872.1
0ade5cc4a305ed7093a23f68ca47519c,curitiba,PR,1.0,20.13,42.39,201.27,79.44,5.0,2017-11,2018-01,2,1,1.3139699074074074,91.8
0aea4c6ae1505b3228ddf3dd7822ee5b,sorocaba,SP,1.0,157.95,185.15,1579.66,180.99,5.0,2017-10,2018-04,6,1,1.1705787037037036,275.4
0af2ab31141893d26aca5a404a537dab,sao paulo,SP,1.0,7.45,15.51,74.51,59.0,5.0,2018-08,2018-08,1,1,0.5304050925925926,45.9
0af977692321d895349eded183341d28,santos,SP,1.0,27.72,19.47,277.22,128.875,4.5,2018-04,2018-08,2,1,1.342170138888889,91.8
0afccdb8a34ee5c79f7c06faf2b4d56e,uberlandia,MG,2.0,150.05,354.7,1500.4,39.9,4.0,2017-04,2018-04,10,1,1.9533101851851853,459.0
0b09101900100c0e9d312861fad5a1b9,sao paulo,SP,1.0,20.67,14.61,206.65,153.75,4.0,2017-01,2017-01,1,1,23.459282407407407,45.9
0b0ddbc7b9d9584f442c7ac92b0ff6c9,guarulhos,SP,1.0,155.06,133.88,1550.6399999999999,449.99,5.0,2018-03,2018-06,3,1,3.1835532407407405,137.7
0b18d63d0cd1d723567903fd34a07df2,sp,SP,1.0,281.6,265.89,2815.87,85.99,5.0,2017-04,2018-06,6,4,1.6399537037037037,275.4
0b1ca3ef18a63d7eb0c8897fa0849c08,sao roque,SP,1.0,6.29,7.87,62.87,55.0,5.0,2018-04,2018-04,1,1,3.917048611111111,45.9
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,5.0,3333.13,1526.2,33331.47,99.9,4.0,2017-12,2018-08,9,10,1.435619212962963,413.09999999999997
0b36063d5818f81ccb94b54adfaebbf5,jaragua do sul,SC,1.0,1174.5,18.0,11745.0,51.0,5.0,2017-01,2017-01,1,15,1.6669560185185186,45.9
0b3f27369a4d8df98f7eb91077e438ac,aruja,SP,2.0,17.14,24.88,171.39,73.255,4.0,2017-11,2017-11,1,1,1.1539351851851851,45.9
0b46f784306be7200ca1700aa55d819f,belo horizonte,MG,1.0,3.09,10.96,30.86,19.9,5.0,2017-03,2017-03,1,1,1.0639583333333333,45.9
0b64bcdb0784abc139af04077d49a20e,canoas,RS,1.0,20.58,68.21000000000001,205.81,35.9,5.0,2018-04,2018-07,4,1,2.6698206018518515,183.6
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,14.0,5034.35,3503.56,50343.43,95.0,5.0,2017-10,2018-08,11,6,1.7657928240740741,504.9
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,8.0,1194.7,2947.6,11946.21,43.98,5.0,2017-05,2018-08,16,3,0.9247453703703704,734.4
0bb27263628258b8111a0262769fa9db,sao paulo,SP,1.0,3.32,10.96,33.16,22.2,5.0,2017-04,2017-04,1,1,40.62107638888889,45.9
0bb738e4d789e63e2267697c42d35a2d,sao roque,SP,2.0,263.21,591.6999999999999,2632.02,79.9,5.0,2017-02,2018-05,12,2,1.9827546296296297,550.8
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,SP,9.0,1668.05,2509.36,16679.81,49.9,5.0,2017-05,2018-08,16,4,1.7107812500000001,734.4
0bebbb2cea103a4a020c95d43fd7d754,sao paulo,SP,3.0,97.48,92.45,974.8499999999999,160.4,5.0,2018-06,2018-08,2,1,0.8678530092592593,91.8
0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,2.0,1277.95,1049.09,12779.54,95.9,5.0,2017-02,2018-07,14,4,4.187141203703704,642.6
0bfd0b434243adc5c2e1aa6baf19c6aa,rio de janeiro,RJ,1.0,49.7,65.78999999999999,497.14,61.2,4.0,2017-10,2018-02,4,1,1.224363425925926,183.6
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,5.0,595.81,917.53,5958.03,39.9,5.0,2017-07,2018-07,12,5,2.3261400462962962,550.8
0c7f30ae9b147eca07affbef92832a6a,ponta grossa,PR,2.0,56.71,87.61,567.11,79.9,5.0,2017-03,2017-04,2,1,1.8585416666666668,91.8
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,9.0,3129.33,4285.7,31293.61,74.9,5.0,2016-10,2018-08,18,5,2.527210648148148,826.1999999999999
0cab2da43793a6f3c5ed8514c5f54627,curitiba,PR,1.0,22.33,33.56,223.35999999999999,94.9,5.0,2018-05,2018-06,2,1,0.4263599537037037,91.8
0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,2.0,641.05,820.29,6410.5599999999995,135.0,5.0,2017-03,2018-07,15,2,1.2296412037037037,688.5
0d33a55da925bbf1ff02af5f6059fc7f,sao paulo,SP,2.0,112.11,333.13,1121.15,24.0,5.0,2017-11,2018-08,8,2,1.2657407407407408,367.2
0d4c8269e7f0401201794deef160edd6,ribeirao preto,SP,1.0,134.39,99.39,1343.78,195.865,5.0,2017-10,2017-11,2,2,2.038084490740741,91.8
0d83f8e03188682112cc0d93523705cc,porto alegre,RS,1.0,228.85999999999999,124.31,2288.81,88.9,2.5,2017-11,2018-01,3,4,4.231886574074075,137.7
0d85bbda9889ce1f7e63778d24f346eb,uberlandia,MG,4.0,578.42,1444.8,5783.86,59.9,5.0,2017-03,2018-03,11,2,2.2448900462962964,504.9
0daf5180aa44356f60f8effa533b55a2,goiania,GO,1.0,18.36,38.83,183.63,72.4,5.0,2018-07,2018-08,2,1,0.5175173611111111,91.8
0db783cfcd3b73998abc6e10e59a102f,santos,SP,7.0,1212.27,2035.39,12121.88,49.9,5.0,2016-10,2018-04,17,2,1.9023032407407408,780.3
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,17.0,3475.76,5148.86,34756.26,104.0,4.0,2017-12,2018-08,9,5,2.3153587962962963,413.09999999999997
